tsolve,alg,nvars,seed,runseed
12,GR,7,5,5
319,RS,7,5,5
54,UEDA,7,5,6
9,GR,7,5,6
14,RS,7,5,6
66,UEDA,7,5,7
16,GR,7,5,7
39,RS,7,5,7
4,UEDA,7,5,8
15,GR,7,5,8
22,RS,7,5,8
9,UEDA,7,5,9
11,GR,7,5,9
26,RS,7,5,9
11,UEDA,7,5,10
31,GR,7,5,10
5,RS,7,5,10
90,UEDA,7,6,1
11,GR,7,6,1
64,RS,7,6,1
32,UEDA,7,6,2
15,GR,7,6,2
32,RS,7,6,2
82,UEDA,7,6,3
36,GR,7,6,3
31,RS,7,6,3
8,UEDA,7,6,4
1,GR,7,6,4
126,RS,7,6,4
29,UEDA,7,6,5
38,GR,7,6,5
52,RS,7,6,5
127,UEDA,7,6,6
63,GR,7,6,6
59,RS,7,6,6
14,UEDA,7,6,7
2,GR,7,6,7
74,RS,7,6,7
62,UEDA,7,6,8
2,GR,7,6,8
58,RS,7,6,8
47,UEDA,7,6,9
28,GR,7,6,9
15,RS,7,6,9
11,UEDA,7,6,10
18,GR,7,6,10
52,RS,7,6,10
18,UEDA,7,7,1
17,GR,7,7,1
239,RS,7,7,1
11,UEDA,7,7,2
12,GR,7,7,2
36,RS,7,7,2
88,UEDA,7,7,3
14,GR,7,7,3
108,RS,7,7,3
168,UEDA,7,7,4
6,GR,7,7,4
31,RS,7,7,4
85,UEDA,7,7,5
13,GR,7,7,5
304,RS,7,7,5
5,UEDA,7,7,6
9,GR,7,7,6
37,RS,7,7,6
84,UEDA,7,7,7
21,GR,7,7,7
78,RS,7,7,7
114,UEDA,7,7,8
18,GR,7,7,8
132,RS,7,7,8
4,UEDA,7,7,9
8,GR,7,7,9
70,RS,7,7,9
17,UEDA,7,7,10
7,GR,7,7,10
78,RS,7,7,10
63,UEDA,7,8,1
25,GR,7,8,1
184,RS,7,8,1
1,UEDA,7,8,2
17,GR,7,8,2
1,RS,7,8,2
269,UEDA,7,8,3
14,GR,7,8,3
7,RS,7,8,3
107,UEDA,7,8,4
25,GR,7,8,4
53,RS,7,8,4
6,UEDA,7,8,5
28,GR,7,8,5
58,RS,7,8,5
18,UEDA,7,8,6
3,GR,7,8,6
91,RS,7,8,6
22,UEDA,7,8,7
43,GR,7,8,7
21,RS,7,8,7
78,UEDA,7,8,8
52,GR,7,8,8
116,RS,7,8,8
22,UEDA,7,8,9
4,GR,7,8,9
105,RS,7,8,9
38,UEDA,7,8,10
